commune,code_insee
Moulin-Mage,81188
Murat-sur-Vèbre,81192
Nages,81193
Senaux,81282
Viane,81314
Alzing,57016
Anzeling,57025
Apach,57026
Bibiche,57079
Bouzonville,57106
Brettnach,57110
Chémery-les-Deux,57136
Colmen,57149
Dalstein,57167
Ébersviller,57186
Filstroff,57213
Flastroff,57215
Grindorff-Bizing,57259
Guerstling,57273
Halstroff,57286
Heining-lès-Bouzonville,57309
Hestroff,57322
Holling,57329
Hunting,57341
Kerling-lès-Sierck,57361
Kirsch-lès-Sierck,57364
Kirschnaumen,57365
Laumesfeld,57387
Launstroff,57388
Manderen-Ritzing,57439
Menskirch,57457
Merschweiller,57459
Montenach,57479
Neunkirchen-lès-Bouzonville,57502
Rémelfang,57567
Rémeling,57569
Rettel,57576
Rustroff,57604
Saint-François-Lacroix,57610
Schwerdorff,57640
Sierck-les-Bains,57650
Vaudreching,57700
Waldweistroff,57739
Waldwisse,57740
Andiran,47009
Barbaste,47021
Bruch,47041
Buzet-sur-Baïse,47043
Calignac,47045
Espiens,47090
Feugarolles,47097
Fieux,47098
Francescas,47102
Fréchou,47103
Lamontjoie,47133
Lannes,47134
Lasserre,47139
Lavardac,47143
Mézin,47167
Moncaut,47172
Moncrabeau,47174
Montgaillard-en-Albret,47176
Montagnac-sur-Auvignon,47180
Montesquieu,47186
Nérac,47195
Nomdieu,47197
Pompiey,47207
Poudenas,47211
Réaup-Lisse,47221
Sainte-Maure-de-Peyriac,47258
Saint-Pé-Saint-Simon,47266
Saint-Vincent-de-Lamontjoie,47282
Saumont,47287
Sos,47302
Thouars-sur-Garonne,47308
Vianne,47318
Xaintrailles,47327
Amberre,86002
Avanton,86016
Ayron,86017
Chabournay,86048
Chalandray,86050
Champigny en Rochereau,86053
Chiré-en-Montreuil,86074
Chouppes,86075
Cissé,86076
Frozes,86102
Latillé,86121
Boivre-la-Vallée,86123
Maillé,86142
Mirebeau,86160
Neuville-de-Poitou,86177
Quinçay,86204
Thurageau,86271
Saint-Martin-la-Pallu,86281
Villiers,86292
Vouillé,86294
Vouzailles,86299
Yversay,86300
Anoux,54018
Auboué,54028
Avril,54036
Les Baroches,54048
Batilly,54051
Bettainvillers,54066
Val de Briey,54099
Hatrize,54253
Homécourt,54263
Jœuf,54280
Jouaville,54283
Lantéfontaine,54302
Lubey,54326
Moineville,54371
Moutiers,54391
Valleroy,54542
Ailly-sur-Noye,80010
Arvillers,80031
Aubvillers,80037
Beaucourt-en-Santerre,80064
Berteaucourt-lès-Thennes,80094
Chaussoy-Epagny,80188
Chirmont,80193
Cottenchy,80213
Coullemelle,80214
Démuin,80237
Domart-sur-la-Luce,80242
Dommartin,80246
Esclainvillers,80283
La Faloise,80299
Flers-sur-Noye,80315
Folleville,80321
Fouencamps,80337
Fransures,80349
Grivesnes,80390
Guyencourt-sur-Noye,80403
Hailles,80405
Hallivillers,80407
Hangest-en-Santerre,80415
Jumel,80452
Lawarde-Mauger-l'Hortoy,80469
Louvrechy,80494
Mailly-Raineval,80499
Mézières-en-Santerre,80545
Moreuil,80570
Morisel,80571
La Neuville-Sire-Bernard,80595
Quiry-le-Sec,80657
Rogy,80675
Rouvrel,80681
Sauvillers-Mongival,80729
Sourdon,80740
Thennes,80751
Thory,80758
Bennecourt,78057
Blaru,78068
Boissy-Mauvoisin,78082
Bonnières-sur-Seine,78089
Bréval,78107
Chaufour-lès-Bonnières,78147
Cravent,78188
Freneuse,78255
Gommecourt,78276
Notre-Dame-de-la-Mer,78320
Limetz-Villez,78337
Lommoye,78344
Ménerville,78385
Moisson,78410
Neauphlette,78444
Saint-Illiers-la-Ville,78558
Saint-Illiers-le-Bois,78559
La Villeneuve-en-Chevrie,78668
Alleyrac,43004
Chadron,43047
Champclause,43053
Chaudeyrolles,43066
Les Estables,43091
Fay-sur-Lignon,43092
Freycenet-la-Cuche,43097
Freycenet-la-Tour,43098
Goudet,43101
Lantriac,43113
Laussonne,43115
Le Monastier-sur-Gazeille,43135
Montusclat,43143
Moudeyres,43144
Présailles,43156
Queyrières,43158
Saint-Front,43186
Saint-Julien-Chapteuil,43200
Saint-Martin-de-Fugères,43210
Saint-Pierre-Eynac,43218
Salettes,43231
Les Vastres,43253
Champagnac-la-Noaille,19039
Chapelle-Spinasse,19046
Chaumeil,19051
Darnets,19070
Égletons,19073
Le Jardin,19092
Lafage-sur-Sombre,19097
Laval-sur-Luzège,19111
Lapleau,19106
Marcillac-la-Croisille,19125
Meyrignac-l'Église,19137
Montaignac-Saint-Hippolyte,19143
Moustier-Ventadour,19145
Péret-Bel-Air,19159
Rosiers-d'Égletons,19176
Saint-Hilaire-Foissac,19208
Saint-Merd-de-Lapleau,19225
Saint-Yrieix-le-Déjalat,19249
Sarran,19251
Soudeilles,19263
Aigues-Vives,30004
Aubais,30019
Boissières,30043
Codognan,30083
Gallargues-le-Montueux,30123
Mus,30185
Nages-et-Solorgues,30186
Uchaud,30333
Vergèze,30344
Vestric-et-Candiac,30347
Fons,30112
Gajan,30122
Mauressargues,30163
Montignargues,30180
La Rouvière,30224
Saint-Bauzély,30233
Saint-Geniès-de-Malgoirès,30255
Saint-Mamert-du-Gard,30281
Sauzet,30313
Montagnac,30354
Cussac-Fort-Médoc,33146
Ludon-Médoc,33256
Macau,33262
Le Pian-Médoc,33322
Anglars-Nozac,46006
Blars,46031
Caniac-du-Causse,46054
Concorès,46072
Cras,46079
Fajoles,46098
Frayssinet,46113
Ginouillac,46121
Gourdon,46127
Cœur de Causse,46138
Lamothe-Cassel,46151
Lauzès,46162
Lentillac-du-Causse,46167
Lunegarde,46181
Milhac,46194
Montamel,46196
Montfaucon,46204
Nadillac,46210
Orniac,46212
Payrignac,46216
Peyrilles,46219
Sabadel-Lauzès,46245
Les Pechs du Vers,46252
Saint-Chamarand,46253
Saint-Cirq-Madelon,46257
Saint-Cirq-Souillaguet,46258
Saint-Clair,46259
Saint-Germain-du-Bel-Air,46267
Saint-Projet,46290
Sénaillac-Lauzès,46303
Séniergues,46304
Soucirac,46308
Soulomès,46310
Ussel,46323
Uzech,46324
Le Vigan,46334
Chenières,54127
Cons-la-Grandville,54137
Cosnes-et-Romain,54138
Cutry,54151
Fillières,54194
Gorcy,54234
Grand-Failly,54236
Haucourt-Moulaine,54254
Herserange,54261
Hussigny-Godbrange,54270
Lexy,54314
Longlaville,54321
Longwy,54323
Mexy,54367
Mont-Saint-Martin,54382
Morfontaine,54385
Réhon,54451
Saulnes,54493
Tellancourt,54514
Tiercelet,54525
Ugny,54537
Ville-Houdlémont,54572
Villers-la-Chèvre,54574
Villers-la-Montagne,54575
Acheux-en-Amiénois,80003
Albert,80016
Arquèves,80028
Auchonvillers,80038
Authie,80043
Authuille,80045
Aveluy,80047
Bayencourt,80057
Bazentin,80059
Beaucourt-sur-l'Ancre,80065
Beaumont-Hamel,80069
Bécordel-Bécourt,80073
Bertrancourt,80095
Bouzincourt,80129
Bray-sur-Somme,80136
Buire-sur-l'Ancre,80151
Bus-lès-Artois,80153
Cappy,80172
Chuignolles,80195
Coigneux,80201
Colincamps,80203
Contalmaison,80206
Courcelette,80216
Courcelles-au-Bois,80217
Curlu,80231
Dernancourt,80238
Éclusier-Vaux,80264
Englebelmer,80266
Étinehem-Méricourt,80295
Forceville,80329
Fricourt,80366
Frise,80367
Grandcourt,80384
Harponville,80420
Hédauville,80425
Hérissart,80431
Irles,80451
Laviéville,80468
Léalvillers,80470
Louvencourt,80493
Mailly-Maillet,80498
Carnoy-Mametz,80505
Maricourt,80513
Marieux,80514
Méaulte,80523
Mesnil-Martinsart,80540
Millencourt,80547
Miraumont,80549
Montauban-de-Picardie,80560
Morlancourt,80572
La Neuville-lès-Bray,80593
Ovillers-la-Boisselle,80615
Pozières,80640
Puchevillers,80645
Pys,80648
Raincheval,80659
Saint-Léger-lès-Authie,80705
Suzanne,80743
Thièvres,80756
Toutencourt,80766
Varennes,80776
Vauchelles-lès-Authie,80777
Laudun-l'Ardoise,30141
Tresques,30331
Eaunes,31165
Labarthe-sur-Lèze,31248
Pins-Justaret,31421
Villate,31580
Bonrepos-sur-Aussonnelle,31075
Empeaux,31166
Frouzins,31203
Lamasquère,31269
Saiguède,31466
Saint-Clar-de-Rivière,31475
Saint-Lys,31499
Saint-Thomas,31518
Seysses,31547
Antras,32003
Arrouède,32010
Auch,32013
Augnax,32014
Auterive,32019
Aux-Aussat,32020
Barcugnan,32028
Barran,32029
Bars,32030
Bassoues,32032
Beccas,32039
Belloc-Saint-Clamens,32042
Berdoues,32045
Betplan,32050
Biran,32054
Boucagnères,32060
Cap d'Astarac,32365
Castelnau-Barbarens,32076
Castelnau-d'Anglès,32077
Castéra-Verduzan,32083
Castex,32086
Castillon-Massas,32089
Castin,32091
Chélan,32103
Clermont-Pouyguillès,32104
Crastes,32112
Cuélas,32114
Duffort,32116
Duran,32117
Durban,32118
Esclassan-Labastide,32122
Estampes,32126
Estipouy,32128
Faget-Abbatial,32130
Haget,32152
Haulies,32153
Idrac-Respaillès,32156
L'Isle-de-Noé,32159
Jegun,32162
Laas,32167
Labarthe,32169
Labéjan,32172
Laguian-Mazous,32181
Lahitte,32183
Lalanne-Arqué,32185
Lamaguère,32186
Lasséran,32200
Lasseube-Propre,32201
Lavardens,32204
Leboulin,32207
Lourties-Monbrun,32216
Malabat,32225
Manas-Bastanous,32226
Manent-Montané,32228
Masseube,32242
Mérens,32251
Miélan,32252
Miramont-d'Astarac,32254
Mirande,32256
Mirepoix,32258
Monclar-sur-Losse,32265
Moncorneil-Grazan,32266
Montaut,32278
Montaut-les-Créneaux,32279
Mont-de-Marrast,32281
Montégut,32282
Montégut-Arros,32283
Montesquiou,32285
Monties,32287
Mouchès,32293
Nougaroulet,32298
Orbessan,32300
Ordan-Larroque,32301
Ornézan,32302
Panassac,32304
Pavie,32307
Pessan,32312
Peyrusse-Massas,32316
Pouylebon,32326
Pouy-Loubrin,32327
Preignan,32331
Puycasquier,32335
Roquefort,32347
Roquelaure,32348
Sadeillan,32355
Sainte-Aurence-Cazaux,32363
Saint-Christaud,32367
Sainte-Christie,32368
Sainte-Dode,32373
Saint-Jean-le-Comtal,32381
Saint-Jean-Poutge,32382
Saint-Lary,32384
Saint-Martin,32389
Saint-Maur,32393
Saint-Médard,32394
Saint-Michel,32397
Saint-Ost,32401
Samaran,32409
Sansan,32411
Sarraguzan,32415
Sauviac,32419
Seissan,32426
Sère,32430
Tachoires,32438
Tourrenquets,32453
Traversères,32454
Villecomtal-sur-Arros,32464
Aussos,32468
Saint-André-de-la-Roche,06114
Gruissan,11170
Aubagne,13005
Plan-de-Cuques,13075
Guingamp,22070
Dreux,28134
Bagnols-sur-Cèze,30028
Pont-Saint-Esprit,30202
Saint-Jory,31490
Saint-Jean-d'Illac,33422
Ports-sur-Vienne,37187
Le Touvet,38511
Chanteuges,43056
Couteuges,43079
Langeac,43112
Lavoûte-Chilhac,43118
Mazeyrat-d'Allier,43132
Paulhaguet,43148
Saint-Georges-d'Aurac,43188
Salzuit,43232
Saugues,43234
Siaugues-Sainte-Marie,43239
Allondrelle-la-Malmaison,54011
Baslieux,54049
Bazailles,54056
Beuveille,54067
Boismont,54081
Charency-Vezin,54118
Doncourt-lès-Longuyon,54172
Épiez-sur-Chiers,54178
Fresnois-la-Montagne,54212
Longuyon,54322
Montigny-sur-Chiers,54378
Petit-Failly,54420
Pierrepont,54428
Saint-Jean-lès-Longuyon,54476
Saint-Pancré,54485
Saint-Supplet,54489
Villers-le-Rond,54576
Villette,54582
Viviers-sur-Chiers,54590
Montataire,60414
Ceton,61079
Saint-Germain-de-la-Coudre,61394
Libercourt,62907
Carspach,68062
Guebwiller,68112
Weckolsheim,68360
Gretz-Armainvilliers,77215
Guignes,77222
Chennevières-sur-Marne,94019
Marolles-en-Brie,94048
Vitry-sur-Seine,94081
Sainte-Rose,97419
Noyant-Villages,49228
Corneilla-la-Rivière,66058
Saint-Estève,66172
Saint-Joseph,97412
Gevrey-Chambertin,21295
Terre-de-Haut,97131
Montsinéry-Tonnegrande,97313
Abbéville-la-Rivière,91001
Blandy,91067
Boissy-la-Rivière,91079
Boutervilliers,91098
Brières-les-Scellés,91109
Brouy,91112
Chalou-Moulineux,91131
Champmotteux,91137
Chatignonville,91145
Fontaine-la-Rivière,91240
La Forêt-Sainte-Croix,91248
Marolles-en-Beauce,91374
Mérobert,91393
Mespuits,91399
Monnerville,91414
Ormoy-la-Rivière,91469
Plessis-Saint-Benoist,91495
Puiselet-le-Marais,91508
Pussay,91511
Roinvilliers,91526
Saint-Cyr-la-Rivière,91544
Saint-Escobille,91547
Valpuiseaux,91629
Joinville,52250
Gonfreville-l'Orcher,76305
Montfaucon,30178
Aurin,31029
Bourg-Saint-Bernard,31082
Caragoudes,31105
Caraman,31106
Le Faget,31179
Loubens-Lauragais,31304
Mascarville,31325
Préserville,31439
Prunet,31441
Sainte-Foy-d'Aigrefeuille,31480
Saussens,31534
Vallesvilles,31567
